Los Village Volvieron - 1;15/04/2020;15:30;31/03/2020;Los Village Volvieron;dmode,clauper;nl
Los Village Volvieron - 2;05/01/2020;17:00;31/03/2020;Los Village Volvieron;bruceTheBoss;nl
Los Village Volvieron - 3;06/01/2020;18:00;31/03/2020;Los Village Volvieron;bruceTheBoss,clauper;nl
Global Spirit (I);06/10/2020;19:00;20/04/2020;Global Spirit;vpeople;nl
Global Spirit (II);07/10/2020;20:00;20/04/2020;Global Spirit;clauper,bruceTheBoss;nl
Global Spirit (III);08/10/2020;17:45;20/04/2020;Global Spirit;lospimpi;nl
Memphis Blues World - A;15/08/2020;16:30;30/05/2020;Memphis Blues World;bruceTheBoss;nl
Memphis Blues World - B;31/08/2020;19:30;30/05/2020;Memphis Blues World;bruceTheBoss,dmode;nl
Memphis Blues World - C;30/09/2020;20:00;30/05/2020;Memphis Blues World;lospimpi,bruceTheBoss;nl
Springsteen on Broadway - i;09/01/2020;19:30;06/07/2020;Springsteen on Broadway;dmode,tripleNelson;nl
Springsteen on Broadway - ii;30/09/2020;17:00;06/07/2020;Springsteen on Broadway;tripleNelson,la_ley;nl
Springsteen on Broadway - iii;15/10/2020;20:00;06/07/2020;Springsteen on Broadway;la_ley;nl
Bien de Familia - A;25/09/2020;19:00;07/08/2020;Bien de Familia;alcides;nl
Bien de Familia - B;25/10/2020;18:30;07/08/2020;Bien de Familia;tripleNelson;nl
Bien de Familia - C;25/11/2020;17:45;07/08/2020;Bien de Familia;n/a;nl
30 años - 1;09/01/2020;21:00;31/07/2020;30 años;dyangounchained;nl
30 años - 2;10/01/2020;21:00;31/07/2020;30 años;dyangounchained,lospimpi;nl
30 años - 3;15/11/2020;21:00;31/07/2020;30 años;n/a;nl